Player,Salary,Year,Link,Born
Stephen Curry,N/A,2020,https://hoopshype.com/player/stephen-curry/salary/,
Kemba Walker,N/A,2020,https://hoopshype.com/player/kemba-walker/salary/,
Mike Conley,N/A,2020,https://hoopshype.com/player/mike-conley/salary/,
Klay Thompson,N/A,2020,https://hoopshype.com/player/klay-thompson/salary/,
Paul George,N/A,2020,https://hoopshype.com/player/paul-george/salary/,
LeBron James,N/A,2020,https://hoopshype.com/player/lebron-james/salary/,
Kevin Durant,N/A,2020,https://hoopshype.com/player/kevin-durant/salary/,
John Wall,N/A,2020,https://hoopshype.com/player/john-wall/salary/,
James Harden,N/A,2020,https://hoopshype.com/player/james-harden/salary/,
Russell Westbrook,N/A,2020,https://hoopshype.com/player/russell-westbrook/salary/,
Chris Paul,N/A,2020,https://hoopshype.com/player/chris-paul/salary/,
Kevin Love,N/A,2020,https://hoopshype.com/player/kevin-love/salary/,
Damian Lillard,N/A,2020,https://hoopshype.com/player/damian-lillard/salary/,
Anthony Davis,N/A,2020,https://hoopshype.com/player/anthony-davis/salary/,
Khris Middleton,N/A,2020,https://hoopshype.com/player/khris-middleton/salary/,
Kyrie Irving,N/A,2020,https://hoopshype.com/player/kyrie-irving/salary/,
Blake Griffin,N/A,2020,https://hoopshype.com/player/blake-griffin/salary/,
Tobias Harris,N/A,2020,https://hoopshype.com/player/tobias-harris/salary/,
Jimmy Butler,N/A,2020,https://hoopshype.com/player/jimmy-butler/salary/,
Kawhi Leonard,N/A,2020,https://hoopshype.com/player/kawhi-leonard/salary/,
Player,Salary,Year,Link,Born
Stephen Curry,N/A,2020,https://hoopshype.com/player/stephen-curry/salary/,
Jimmy Butler,N/A,2020,https://hoopshype.com/player/jimmy-butler/salary/,
Kawhi Leonard,N/A,2020,https://hoopshype.com/player/kawhi-leonard/salary/,
Kemba Walker,N/A,2020,https://hoopshype.com/player/kemba-walker/salary/,
Mike Conley,N/A,2020,https://hoopshype.com/player/mike-conley/salary/,
Klay Thompson,N/A,2020,https://hoopshype.com/player/klay-thompson/salary/,
Paul George,N/A,2020,https://hoopshype.com/player/paul-george/salary/,
LeBron James,N/A,2020,https://hoopshype.com/player/lebron-james/salary/,
Kevin Durant,N/A,2020,https://hoopshype.com/player/kevin-durant/salary/,
John Wall,N/A,2020,https://hoopshype.com/player/john-wall/salary/,
James Harden,N/A,2020,https://hoopshype.com/player/james-harden/salary/,
Russell Westbrook,N/A,2020,https://hoopshype.com/player/russell-westbrook/salary/,
Chris Paul,N/A,2020,https://hoopshype.com/player/chris-paul/salary/,
Kevin Love,N/A,2020,https://hoopshype.com/player/kevin-love/salary/,
Damian Lillard,N/A,2020,https://hoopshype.com/player/damian-lillard/salary/,
Anthony Davis,N/A,2020,https://hoopshype.com/player/anthony-davis/salary/,
Khris Middleton,N/A,2020,https://hoopshype.com/player/khris-middleton/salary/,
Kyrie Irving,N/A,2020,https://hoopshype.com/player/kyrie-irving/salary/,
Blake Griffin,N/A,2020,https://hoopshype.com/player/blake-griffin/salary/,
Tobias Harris,N/A,2020,https://hoopshype.com/player/tobias-harris/salary/,
Player,Salary,Year,Link,Born
Stephen Curry,"$48,070,014",2020,https://hoopshype.com/player/stephen-curry/salary/,03/14/88
Blake Griffin,"$2,905,851",2020,https://hoopshype.com/player/blake-griffin/salary/,03/16/89
Tobias Harris,"$37,633,050",2020,https://hoopshype.com/player/tobias-harris/salary/,07/15/92
Jimmy Butler,"$37,653,300",2020,https://hoopshype.com/player/jimmy-butler/salary/,09/14/89
Kawhi Leonard,"$42,492,492",2020,https://hoopshype.com/player/kawhi-leonard/salary/,06/29/91
Kemba Walker,"$37,281,261",2020,https://hoopshype.com/player/kemba-walker/salary/,05/08/90
Mike Conley,"$22,680,000",2020,https://hoopshype.com/player/mike-conley/salary/,10/11/87
Klay Thompson,"$40,600,080",2020,https://hoopshype.com/player/klay-thompson/salary/,02/08/90
Paul George,"$42,492,492",2020,https://hoopshype.com/player/paul-george/salary/,05/02/90
LeBron James,"$44,474,988",2020,https://hoopshype.com/player/lebron-james/salary/,12/30/84
Kevin Durant,"$44,119,845",2020,https://hoopshype.com/player/kevin-durant/salary/,09/29/88
John Wall,"$47,345,760",2020,https://hoopshype.com/player/john-wall/salary/,09/06/90
James Harden,"$33,000,000",2020,https://hoopshype.com/player/james-harden/salary/,08/26/89
Russell Westbrook,"$47,080,179",2020,https://hoopshype.com/player/russell-westbrook/salary/,11/12/88
Chris Paul,"$28,400,000",2020,https://hoopshype.com/player/chris-paul/salary/,05/06/85
Kevin Love,"$30,556,968",2020,https://hoopshype.com/player/kevin-love/salary/,09/07/88
Damian Lillard,"$42,492,492",2020,https://hoopshype.com/player/damian-lillard/salary/,07/15/90
Anthony Davis,"$37,980,720",2020,https://hoopshype.com/player/anthony-davis/salary/,03/11/93
Khris Middleton,"$37,984,276",2020,https://hoopshype.com/player/khris-middleton/salary/,08/12/91
Kyrie Irving,"$38,917,057",2020,https://hoopshype.com/player/kyrie-irving/salary/,03/23/92
